№;НАЗВАНИЕ;РУБРИКА;ПОДРУБРИКА;РЕГИОН;ГОРОД;АДРЕС;ТЕЛЕФОН;ТЕЛЕФОН;ТЕЛЕФОН;СОТОВЫЙ;EMAIL;САЙТ;X;Y
1230562145;Адвокатский кабинет Хараш А.А.;Услуги;Адвокаты;Московская область;Москва;бульвар Павшинский 1;+7(495)9721129;;;;anastasia@kharash.ru;http://kharash.ru;55.825113;37.365586;
1167614241;Перспектива;Услуги;Адвокаты;Московская область;Москва;Митинская улица 27а;;;;+79299944893;;;55.845537;37.360421;
1040099379;Арбитражный управляющий;Услуги;Адвокаты;Московская область;Москва;Пятницкое шоссе 16;+7(495)7595662;;;+79037610467;Victor.Sor@gmail.com;http://svm1963.wordpress.com;55.84215;37.385016;
1149355948;Ваш юрист;Услуги;Адвокаты;Московская область;Красногорск;Оптический проезд 1а;;;;+79854615282;;http://sokolkin.com;55.82119;37.341595;
1262342974;Адвокатское Бюро г. Москвы Якубовский, Белов и Партнеры;Услуги;Адвокаты;Московская область;Москва;Соколово-Мещерская улица 25;+7(499)4028041;;;;;;55.902868;37.384585;
1015759227;Московский юридический центр;Услуги;Адвокаты;Московская область;Москва;Митинская улица 55, корп.1;+7(495)9431372;;;;;;55.854643;37.351123;
1214853528;КаПакс;Услуги;Адвокаты;Московская область;;улица Дежнёва;+7(495)2499044;;;;;http://kpx.ru;55.83511;37.239975;
1132847872;Правовое бюро Юст-Лайн;Услуги;Адвокаты;Московская область;Москва;переулок Ангелов 1;+7(495)6417833;;;;6417833@mail.ru;http://pravoburo.ru;55.851985;37.351024;
1189253382;Нормотив.ру;Услуги;Адвокаты;Московская область;Москва;МКАД, 67-й километр 67;;;;+79060352179;;;55.824715;37.3885;
1142314715;Джи Эйч Лоу;Услуги;Адвокаты;Московская область;поселок Нахабино;Институтская улица 1а;;;;+79096809830;;;55.841468;37.182258;
1137316153;Адвокатское бюро Якубовский Белов и партнеры;Услуги;Адвокаты;Московская область;Москва;улица Соколово-Мещерская 25;+7(495)5045977;;;;;;55.902868;37.384585;
1180861377;Адвокатско-аудиторское бюро Коптев и партнеры;Услуги;Адвокаты;Московская область;Красногорск;Вокзальная улица 18б;;;;+79035705768;mosobladvocat@gmail.com;http://мособладвокат.рф;55.810415;37.336373;
1148572664;Юрист Сапожников В.В.;Услуги;Юристы;Московская область;;Московская обл., Истринский р-н, Дедовск, микрорайон Сельхозтехника, ул. 1-я Волоколамская, 3;;;;+79252888897;;http://urist.umi.ru;55.85984;37.120632;
1058708462;Юрист Кузьмин Д.Н.;Услуги;Юристы;Московская область;поселок ского типа Нахабино;улица Чкалова 5, оф. 2;;;;+79037347233;89037347233@mail.ru;;55.838491;37.183614;
1068444795;Юрист Лазукин М.В;Услуги;Юристы;Московская область;Красногорск;улица Ленина 63;;;;+79168437840;lazukinmixail@mail.ru;http://красногорск-юрист.рф;55.836494;37.295643;
1219102309;Юрист Сапожников В.В.;Услуги;Юристы;Московская область;Истра;улица Ленина 7;;;;+79252888897;;http://urist.umi.ru;55.905422;36.858146;
1258925944;Коллегия адвокатов Правоведъ;Услуги;Юристы;Московская область;Москва;Родионовская улица 10, корп.1;+7(495)6276446;;;;ecubaranov@mail.ru;http://pravoved77.ru;55.895525;37.390128;
1177660028;Агентство недвижимости, Юридическое агентство А-Юристъ;Услуги;Юристы;Московская область;Москва;улица Кулакова 24, корп.1;+7(499)3943251;;;+79854139047;a-jurist@bk.ru;http://a-yr.ru;55.801126;37.389993;
1137314805;Коллегия адвокатов Особое мнение, Митинское отделение;Услуги;Юристы;Московская область;Москва;Митинская улица 49;+7(495)5080119;;;;kaom@ya.ru;http://db-mnenie.ru;55.851879;37.352012;
1206775988;Московское областное отделение Общероссийской общетсвенной организации ассоциации юристов России;Услуги;Юристы;Московская область;Красногорск;улица Речная 8;+7(495)5857378;;;;;;55.831893;37.331567;
1053154350;Алло-Авто;Услуги;Юристы;Московская область;Москва;улица Твардовского 8, корп.5;+7(499)5031800;;;;;http://allo-auto.ru;55.793131;37.38878;
1232866628;Консалтинговая компания Коммерсант;Услуги;Юристы;Московская область;Красногорск;Успенская улица 5, оф. 301;+7(495)2551007;;;;info@an-kommersant.ru;http://kommersant-consalt.ru;55.833354;37.290972;
1237513090;Московская коллегия адвокатов Бурделов и партнеры;Услуги;Юристы;Московская область;Красногорск;улица Ленина 35;+7(495)2270153;;;;20gma@tsr.ru;http://burdelov.ru;55.829487;37.309145;
1166807554;Юридический центр;Услуги;Юристы;Московская область;Москва;Митинская улица 33/1;+7(916)0328689;;;+79161220910;info@pravo-c.ru;http://pravo-c.ru;55.84768;37.356028;
1153563629;Президент Риэлти;Услуги;Юристы;Московская область;Москва;Юровская улица 92, оф. 40;+7(495)7406964;+7(495)5047308;;;1054040@list.ru;http://presidentrealty.ru;55.898876;37.379177;
1081649894;Федерация права;Услуги;Юристы;Московская область;Красногорск;улица Октябрьская 1;;;;+79652977280;ifns150@gmail.com;http://ifns150.ru;55.821118;37.336813;
1137824618;Аудит;Услуги;Юристы;Московская область;;улица 9-й Гвардейской Дивизии;+7(495)9248247;;;;;http://buhistra.ru;55.912294;36.868584;
1186844513;Центр правовой поддержки ViaPrima;Услуги;Юристы;Московская область;Москва;Митинская улица 36, корп.1, оф. 406;+7(495)9816533;;;;info@viaprima.info;http://viaprima.info;55.84675;37.361984;
1225357743;Адвокат;Услуги;Юристы;Московская область;Красногорск;улица Губайлово 56, эт. 2, оф. 27;+7(499)3908166;;;;zuev_av@inbox.ru;http://advokat-krasnogorsk.ru;55.83047;37.307068;
1088444482;М-Аудит;Услуги;Юристы;Московская область;Красногорск;улица Братьев Горожанкиных 2б, оф. 6;+7(495)9432518;;;;;http://buhistra.ru;55.830704;37.299152;
1221847604;Консалтинговая группа Бизнес и Закон;Услуги;Юристы;Московская область;поселок Толстопальцево;улица Ленина 97, оф. 1;+7(495)6699511;;;;biznes-zakon.kg@yandex.ru;http://biznes-zakon.ru;55.917289;36.86023;
1053534181;World Business Consult;Услуги;Юристы;Московская область;Красногорск;Успенская улица 5, ДЦ Успенский, оф. 705;+7(495)9891480;;;;msk@wbconsult.ru;http://wbconsult.ru;55.833354;37.290972;
1088802481;Агентство недвижимости Коммерсант;Услуги;Юристы;Московская область;;Московская обл., Красногорский р-н, Красногорск, микрорайон Чернево-2, ул. Успенская, 5, оф. 301;+7(495)2200577;;;;an-kommersant@mail.ru;http://an-kommersant.ru;55.833354;37.290972;
1257442015;Семейный адвокат;Услуги;Юристы;Московская область;Москва;Пятницкое шоссе 16;;;;+79257557876;;http://falaw.ru;55.84215;37.385016;
1136598559;Скорая СРОпомощь;Услуги;Юристы;Московская область;;Московская обл., Красногорский р-н, Красногорск, микрорайон Чернево-2, ул. Успенская, 3;8(800)7002203;;;;info@sl16.ru;http://krasnogorsk.sl16.ru;55.8334;37.291735;
1263080191;Ваш регистратор;Услуги;Юристы;Московская область;Красногорск;Ильинское шоссе 1;;;;+79258600066;nev@vashregistrator.com;http://vashregistrator.com;55.814907;37.34868;
1070089952;Фэймос Групп;Услуги;Юристы;Московская область;Москва;Пятницкое шоссе 9;+7(499)4096688;;;;;http://perexodprava.ru;55.838764;37.385008;
1229447546;President Realty;Услуги;Юристы;Московская область;деревня Гаврилково;2-й квартал 11, ЭЖК Эдем;+7(495)5452773;;;+79099512202;1054040@list.ru;http://prezidentrielty.ru;55.87952;37.360947;
1176456178;Юрмаксимум;Услуги;Юристы;Московская область;Москва;Пятницкое шоссе 39;;;;+79295104378;;;55.855153;37.355498;
1330955864;ИП Сапунов К.Ю.;Услуги;Юристы;Московская область;Красногорск;Заводская улица 4, оф. 1;;;;+79264225089;;;55.808012;37.328;
1223993851;Правовой центр ЮрСервис;Услуги;Юристы;Московская область;Москва;Волоколамское шоссе 142, стр. 1;+7(495)7538122;+7(495)7538141;;;urservis@urservis.su;http://urservis.su;55.828976;37.369071;
1119669271;ЮРВладелец;Услуги;Юристы;Московская область;Красногорск;Успенская улица 3, ДЦ Успенский, оф. 508;;;;+79267774048;tinaoles@yandex.ru;http://tinaoles.narod2.ru;55.8334;37.291735;
1232998483;Иголан;Услуги;Юристы;Московская область;Москва;Митинская улица 36, корп.1;;;;+79253847103;;;55.84675;37.361984;
1209556877;Автоэкспертиза ЗелЭксперт-Сервис;Услуги;Юристы;Московская область;Истра;улица Ленина 5;;;;+79032224710;;;55.906602;36.855109;
1242157614;Н сервис;Услуги;Юристы;Московская область;поселок ского типа Нахабино;Советская улица 22а;+7(495)2014185;;;+79636946781;;;55.847452;37.18595;
1223692655;Регистратор.com;Услуги;Юристы;Московская область;Москва;МКАД, 67-й километр 67;+7(499)3468947;;;;3913747@bk.ru;http://mos.registrator-ip-ooo-zao-oao.com;55.824715;37.3885;
1200528530;По закону;Услуги;Юристы;Московская область;Москва;улица Барышиха 4;;;;+79261095322;;;55.840331;37.367427;
1193595801;ИП Сердюк Я.В.;Услуги;Юристы;Московская область;Красногорск;Павшинский бульвар 12;;;;+79257689464;yuristconsult@inbox.ru;;55.81944;37.36933;
1055386349;Бюро экспертиз и юридических услуг;Услуги;Юристы;Московская область;Красногорск;Ильинское шоссе 2;+7(495)5628636;;;;;;55.814598;37.347961;
1201093193;Юруспех;Услуги;Юристы;Московская область;Москва;Митинская улица 36, корп.1;;;;+79264252829;;;55.84675;37.361984;
1156674304;Адвокат, оплата по результату, ведение сложных дел;Услуги;Юристы;Московская область;Истра;улица Адасько 7;;;;+79060529947;;;55.91184;36.85969;
1116390992;Авеста;Услуги;Юристы;Московская область;Красногорск;улица Жуковского 6;+7(495)5620479;;;;alla@avesta-pravo.ru;http://avesta-pravo.ru;55.817001;37.32915;
1140749629;Ярд;Услуги;Юристы;Московская область;Истра;улица Советская 13, корп.2;+7(496)3140040;+7(495)9946001;;;;;55.920436;36.854885;
1139810986;Фактум;Услуги;Юристы;Московская область;Москва;Митинская улица 57;;;;+79252149181;;;55.855825;37.352336;
1257338158;Юридические услуги;Услуги;Юристы;Московская область;деревня Брехово;Пятницкое шоссе 29а, ТЦ Все для дома, эт. 3;+7(499)3478482;;;+79261798637;aleksehka@mail.ru;http://9089008.ru;55.933106;37.18789;
1211010117;Юридическая консультация № 2;Услуги;Юристы;Московская область;Москва;Новотушинский проезд 6, корп.1;;;;+79162626293;;;55.83703;37.383193;
1241003593;Юридический центр Автоправо;Услуги;Юристы;Московская область;Москва;улица Твардовского 8, корп.3;+7(499)5060870;;;;;http://carlegal.ru;55.794229;37.390775;
1062705356;Консалтинговое агентство Правовая Технология;Услуги;Юристы;Московская область;Красногорск;улица Карбышева 19а;+7(495)5085646;;;;info.mail@pravovaya-tehnologiya.ru;http://pravovaya-tehnologiya.ru;55.837929;37.300898;
1163611607;Адвокат, ведение гражданских и уголовных дел;Услуги;Юристы;Московская область;;улица 50 лет Октября;;;;+79060529947;;;55.8173;37.309254;
1139892769;Регистратор.com;Услуги;Юристы;Московская область;Москва;Митинская улица 36, корп.1;+7(499)3468947;;;;3913747@bk.ru;http://mos.registrator-ip-ooo-zao-oao.com;55.84675;37.361984;
1201270218;Кодекс Закона;Услуги;Юристы;Московская область;Москва;Ангелов переулок 8;;;;+79262698722;;;55.852996;37.34558;
1220625955;Наследник;Услуги;Юристы;Московская область;Москва;улица Митинская 49;+7(495)5061520;;;;;;55.851879;37.352012;
1051380154;Юрпрактика Красногорск;Услуги;Юристы;Московская область;Красногорск;улица Карбышева 19а;+7(499)4090843;;;+79168246656;4090843@mail.ru;http://ur-praktika.ru;55.837929;37.300898;
1204590012;АКиМ;Услуги;Юристы;Московская область;Красногорск;Первомайская улица 5;+7(495)5636826;;;+79169576920;oooakim@rambler.ru;http://oooakim.ru;55.832176;37.328279;
1258504045;Юридическая фирма Экспертиза-М;Услуги;Юристы;Московская область;Красногорск;улица Комсомольская 23;;;;+79031858191;;;55.817183;37.318658;
1213827708;Траст Право;Услуги;Юристы;Московская область;Москва;3-й Митинский переулок 5;+7(495)7909952;;;;info@svoibusiness.ru;http://svoibusiness.ru;55.84784;37.351204;
1207986534;Адвокат;Услуги;Юристы;Московская область;поселок ского типа Нахабино;Новая улица 8;+7(495)9978806;;;;;http://sokolkin.com;55.842287;37.137019;
1147170375;Адвокатский кабинет Музыченко Светлана Александровна;Услуги;Юристы;Московская область;Красногорск;улица Жуковского 56, оф. 27;+7(499)3905268;;;;muz-s@mail.ru;http://advocatmuzychenko.ru;55.831814;37.32943;
1259262877;Адвокат, ведение гражданских дел;Услуги;Юристы;Московская область;Москва;Митинская улица 53;;;;+79060529947;;;55.853198;37.351437;
1202567918;Регистрационный центр;Услуги;Юристы;Московская область;Красногорск;улица Жуковского 7, оф. 17;+7(495)6425670;;;;;;55.8157;37.324757;
1143538674;Гарант;Услуги;Юристы;Московская область;Москва;МКАД 67;;;;+79261095307;;;55.81721;37.38769;
1283662489;Юридическая консультация;Услуги;Юристы;Московская область;поселок Нахабино;улица Школьная 2;+7(495)7550895;;;;;;55.841807;37.145795;
1230375422;ЮрСтарт;Услуги;Юристы;Московская область;Москва;Новотушинская улица 3;;;;+79264252639;;;55.835761;37.383238;
1222903189;ЗащитаРу;Услуги;Юристы;Московская область;Москва;МКАД 67;;;;+79251946457;;;55.82258;37.388;
1208575198;Юридическая помощь автовладельцам;Услуги;Юристы;Московская область;;Московская обл., Истринский р-н, Дедовск, микрорайон Сельхозтехника, ул. 1-я Волоколамская, 60;;;;+79253391824;;;55.87391;37.123775;
1198943440;Регистратор.com;Услуги;Юристы;Московская область;Москва;Новотушинский проезд 6, корп.1;+7(499)3468947;;;;3913747@bk.ru;http://mos.registrator-ip-ooo-zao-oao.com;55.83703;37.383193;
1198069823;Центр правового сопровождения ПРАВОдник;Услуги;Юристы;Московская область;Москва;Пятницкое шоссе 27, корп.1;+7(495)3171782;;;;INFO@PRAVODNIK.PRO;http://mos-debt.ru;55.849054;37.362999;
1085103332;Красногорская аутсорсинговая компания;Услуги;Юристы;Московская область;Красногорск;Благовещенская улица 10;;;;+79032453331;;http://kr-oc.ru;55.841043;37.256216;
1145294689;Адвокат: ведение гражданских дел, уголовные по согласованию;Услуги;Юристы;Московская область;Красногорск;улица Ленина 30;;;;+79060529947;;;55.832308;37.300781;
1215084785;Союз-гаран;Услуги;Юристы;Московская область;Москва;Новотушинский проезд 6, корп.1;;;;+79258496089;;;55.83703;37.383193;
1167419824;Юридический трест;Услуги;Юристы;Московская область;село Павловская Слобода;улица Ленина 1;;;;+79262922482;info@urtrest.ru;http://urtrest.ru;55.814361;37.085662;
1102254530;Красногорск АФК;Услуги;Юристы;Московская область;Красногорск;Ильинское шоссе 4;+7(495)5623135;;;;;;55.813703;37.345742;
1222359004;Юрагент;Услуги;Юристы;Московская область;Москва;Бурцевская улица 21;;;;+79250779593;;;55.942539;37.386481;
1229825832;Юкон;Услуги;Юристы;Московская область;Москва;Митинская улица 36, корп.1;;;;+79254173516;;;55.84675;37.361984;
1024342699;Лекс;Услуги;Юристы;Московская область;Москва;Ангелов переулок 1, корп.1;+7(495)5459157;+7(495)7535576;;;moscowlex@tochka.ru;;55.852531;37.350836;
1112905870;ГеоСтройНедвижимость;Услуги;Юристы;Московская область;Истра;улица Ленина 80а;+7(49631)30381;;;+79258681110;;http://geostroy.tv;55.915336;36.860454;
1252887819;Орион Право;Услуги;Юристы;Московская область;;Московская обл., Истринский р-н, Истра, 7;;;;+79295967259;;http://orionpravo.ru;55.914288;36.860283;
1215253393;ЮЦ Бизнес Партнер;Услуги;Юристы;Московская область;Москва;улица Генерала Белобородова 18;+7(495)7419799;;;;;;55.834153;37.356441;
1218101299;Иванова Юлия Юрьевна;Услуги;Юристы;Московская область;Красногорск;улица Игоря Мерлушкина 3;;;;+79672498790;;;55.834826;37.268864;
1182603570;Адвокат: ведение гражданских дел, уголовные по согласованию;Услуги;Юристы;Московская область;поселок ДСК Мичуринец;улица Ленина 5;;;;+79060529947;;;55.824395;37.316538;
1034040622;Юридическая консультация Правоин;Услуги;Юристы;Московская область;Москва;Митинская улица 52, корп.1;+7(499)7138546;;;+79175101791;b.a.polyakov2012@gmail.com;;55.852561;37.355174;
1208929134;Участковый правовед;Услуги;Юристы;Московская область;Москва;переулок Ангелов 1;+7(905)7001541;;;+79035929779;;;55.851985;37.351024;
1041360396;Аспект-А;Услуги;Юристы;Московская область;Красногорск;Павшинский бульвар 1;+7(495)9683587;;;+79032898861;aspekt-ru@yandex.ru;;55.825113;37.365586;
1139551812;Эдельвейс;Услуги;Юристы;Московская область;;Московская обл., Красногорский р-н, Красногорск, микрорайон Теплый Бетон, ул. Школьная, 9;+7(495)9792339;;;+79035890463;;;55.820212;37.329537;
1156096950;Регистратор.com;Услуги;Юристы;Московская область;Москва;Пятницкое шоссе 39;+7(499)3468947;;;;3913747@bk.ru;http://mos.registrator-ip-ooo-zao-oao.com;55.855153;37.355498;
1136443193;Юридический центр Advisor;Услуги;Юристы;Московская область;;Московская обл., Красногорский р-н, Красногорск, микрорайон Опалиха, ул. Дежнева, 6;;;;+79261519662;sychygova@mail.ru;http://mosadvisor.ru;55.834204;37.239328;
1200008610;Юридическая консультация Морозов и Партнеры;Услуги;Юристы;Московская область;село Павловская Слобода;улица Луначарского 13, эт. 3;+7(925)2510890;;;+79252485319;;;55.814922;37.086308;
1056436312;Аудит-Маркетинг;Услуги;Юристы;Московская область;Москва;Соколово-Мещерская улица 25;+7(495)9265355;;;;Audit@audit-marketing.ru;http://aydit-marketing.ru;55.902868;37.384585;
1196890080;СферАктив;Услуги;Юристы;Московская область;Москва;Родионовская улица 10, корп.1;+7(495)9787970;;;;sferakonsalt@yandex.ru;http://sferaktiv.ru;55.895525;37.390128;
1149064591;Icg;Услуги;Юристы;Московская область;Москва;улица Генерала Белобородова 35;;;;+79055365588;;;55.830766;37.356261;
1221357120;Право Консалтинг;Услуги;Юристы;Московская область;Москва;Митинская улица 27а;;;;+79252142284;;;55.845537;37.360421;
1250072946;Гестор;Услуги;Юристы;Московская область;Москва;Охтинский проезд 1;;;;+79032652635;;;55.926176;37.386768;
1121297201;Юридическая компания Легис-Нади;Услуги;Юристы;Московская область;Москва;Ландышевая улица 14, корп.1;+7(495)5066540;;;;;;55.88402;37.388709;
1172740280;Юрмаксимум;Услуги;Юристы;Московская область;Москва;Митинская улица 57;;;;+79295104378;;;55.855825;37.352336;
1185573614;Юридическая Консультация;Услуги;Юристы;Московская область;Москва;Ангелов переулок 8;+7(495)9614519;;;;;http://vita-tereshenko.ru;55.85375;37.346245;
1134710942;Юридический страховой центр;Финансы;Коллекторские агентства;Московская область;;Москва, Зеленоград г., корп.2034;;;;+79163957129;zelpravo@yandex.ru;http://strahovka-lawyer.ru;55.973946;37.168682;
1016525705;ЕКХ;Финансы;Коллекторские агентства;Московская область;Москва;Осенняя улица 23;+7(495)9718701;;;;ekx.kollekt@mail.ru;http://eoookx.ru;55.7668;37.404222;
1000277519;Адвокаты-юристы;Услуги;Адвокаты;Московская область;Москва;улица Хлобыстова 17;+7(499)7146034;;;;advokat-kr.gorka@yandex.ru;http://urcentr-vihino.ru;55.712994;37.820969;
1023579829;Адвокаты-юристы;Услуги;Адвокаты;Московская область;;Московская обл., Люберецкий р-н, Люберцы, микрорайон Красная Горка, Комсомольский просп., 16/2;+7(499)7146034;;;+79269674680;;http://ur-centr-pravo.ru;55.691334;37.907144;
1129242638;Адвокаты-юристы;Услуги;Адвокаты;Московская область;Москва;2-я Вольская улица 20;+7(499)7146034;;;;advokat-kr.gorka@yandex.ru;http://urcentr-nekrasovka.ru;55.686127;37.920871;
1227684020;Правовед.ru;Услуги;Адвокаты;Московская область;Москва;Иловайская улица 10, стр. 1;+7(499)6536191;;;;support@pravoved.ru;http://pravoved.ru;55.660353;37.721939;
1140599651;Юридическая компания Альт Групп;Услуги;Адвокаты;Московская область;Москва;Азовская улица 18;+7(495)5188371;;;+79258553460;5188371@mail.ru;http://sydimsia.ru;55.656021;37.597693;
1386485243;Межреспубликанская коллегия адвокатов;Услуги;Адвокаты;Московская область;Москва;улица Братиславская 34, корп.2;+7(095)3465801;;;;;http://mrkap.ru;55.650211;37.765462;
1225828192;Юридическая компания Альт Групп;Услуги;Адвокаты;Московская область;Москва;Азовская улица 28;+7(495)5188371;;;+79258553460;5188371@mail.ru;http://sydimsia.ru;55.644587;37.593839;
1253295999;Коллегия адвокатов Сазонов и Партнеры;Услуги;Адвокаты;Московская область;Москва;улица Дмитрия Ульянова 31, оф. 202;+7(495)2803669;+7(495)7180219;;;;http://advokat-sazonov.ru;55.684813;37.585413;
1054351068;Адвокаты Москвы;Услуги;Адвокаты;Московская область;Москва;Святоозерская улица 13;+7(499)7215871;+7(499)7215805;+7(499)7219719;;info@kzpn-mos.ru;http://kzpn-mos.ru;55.712964;37.89402;
1098663971;Адвокат Колотильщикова Е.В.;Услуги;Адвокаты;Московская область;Москва;Ленинский проспект 32;;;;+79161250012;elena_koll@list.ru;;55.709069;37.579672;
1118414663;Коллегия адвокатов Шпарвассер и партнеры;Услуги;Адвокаты;Московская область;Москва;Коломенская улица 21, под. 3;+7(985)2332984;;;+79104568452;shparwasser@mail.ru;http://shparwasser.ru;55.677727;37.694297;
1139104578;Адвокат Гаек Юлия Владимировна;Услуги;Адвокаты;Московская область;Москва;Каширское шоссе 16;;;;+79262364622;advokat-gaek@mail.ru;http://advokatgaek.ru;55.662187;37.630499;
1116532256;Адвокат Тихомиров Д.Д.;Услуги;Адвокаты;Московская область;Москва;Ленинская Слобода улица 17;+7(495)7715488;;;;info@pozakonu.net.ru;http://pozakonu.net.ru;55.709738;37.656389;
1250440674;Адвокат Белоусова (Мотовилова);Услуги;Адвокаты;Московская область;Москва;2-й Донской проезд 4, оф. 160;;;;+79166607027;9840056@gmail.com;http://advokat-motovilova.ru;55.712452;37.593767;
1026293031;Адвокат Шутова Н.В.;Услуги;Адвокаты;Московская область;Москва;улица Перерва 31;+7(495)5074489;+7(495)3454388;;;info@uslugiadvokat.ru;http://uslugiadvokat.ru;55.658581;37.744262;
1252728796;Московская городская коллегия адвокатов № 12;Услуги;Адвокаты;Московская область;Москва;Кировоградская улица 7;+7(495)3113705;;;;;http://mgka1.ru/advokatskaya-kontora/spisok-ak/advokatskaya-kontora-n-12;55.626467;37.612838;
1231125782;Коллегия адвокатов Москва-Адвокат;Услуги;Адвокаты;Московская область;Москва;Окская улица 3, корп.1;+7(495)6421588;;;+79250800002;k-advokat@mail.ru;http://moskva-advokat24.ru;55.712553;37.754386;
1051160497;Московская коллегия адвокатов Инконсалт;Услуги;Адвокаты;Московская область;Москва;улица Орджоникидзе 3, стр. 5;+7(495)3645001;;;;;http://advokatimoskvi.ru;55.710139;37.603029;
1210144153;Адвокат Плыкина Ольга Александровна;Услуги;Адвокаты;Московская область;Москва;Мячковский бульвар 11;+7(495)3461801;+7(495)6320242;+7(495)3461800;;;http://oplykina.ru;55.654934;37.756353;
1184959829;Адвокаты;Услуги;Адвокаты;Московская область;Москва;Волгоградский проспект 145;;;;+79066453407;;;55.704626;37.778667;
1203961034;Адвокат;Услуги;Адвокаты;Московская область;Москва;Артековская улица 1а;+7(499)7945835;;;;;;55.6527;37.613557;
1160421834;Семейный адвокат;Услуги;Адвокаты;Московская область;Москва;Жулебинский бульвар 5;;;;+79257557876;;http://falaw.ru;55.698604;37.84464;
1176989257;Семейный адвокат;Услуги;Адвокаты;Московская область;Москва;Краснодонская улица 24;;;;+79257557876;;http://falaw.ru;55.674199;37.748358;
1201749704;Семейный адвокат;Услуги;Адвокаты;Московская область;Москва;Новочеркасский бульвар 55;;;;+79257557876;;http://falaw.ru;55.648453;37.741351;
1004257909;Московская Областная коллегия адвокатов Фемида;Услуги;Адвокаты;Московская область;Люберцы;Котельническая улица 4;+7(495)5547274;;;;;http://mokafemida.ru;55.672565;37.902329;
1061377614;Форсети;Услуги;Адвокаты;Московская область;Москва;переулок Холодильный 3, стр. 2;+7(495)7276044;+7(495)9552898;;;office@forsety.ru;http://forsety.ru;55.70878;37.624822;
1188442604;Коллегия адвокатов Совет столичных адвокатов Нагатинский офис;Услуги;Адвокаты;Московская область;Москва;Каширский проезд 5;+7(495)5672477;+7(499)4086455;;;sovetadvokat@gmail.com;http://sovetadvokat.ru;55.660856;37.624705;
1176720690;Семейный адвокат;Услуги;Адвокаты;Московская область;Москва;улица Перерва 49;;;;+79257557876;;http://falaw.ru;55.660668;37.749948;
1169756262;Юринформ;Услуги;Адвокаты;Московская область;Москва;2-й Рощинский проезд 8;+7(495)7305561;;;;;http://urinform.ru;55.705303;37.60426;
1228521138;Адвокат;Услуги;Адвокаты;Московская область;Москва;Чонгарский бульвар 15;+7(499)7946968;;;;;;55.652781;37.607808;
1232104104;Семейный адвокат;Услуги;Адвокаты;Московская область;Москва;улица Авиаконструктора Миля 16;;;;+79257557876;;http://falaw.ru;55.68126;37.855967;
1179050596;Семейный адвокат;Услуги;Адвокаты;Московская область;Москва;улица Трофимова 16а;;;;+79257557876;;http://falaw.ru;55.702642;37.670887;
1256119411;Семейный адвокат;Услуги;Адвокаты;Московская область;Москва;улица Москворечье 4, корп.6;;;;+79257557876;;http://falaw.ru;55.643404;37.654772;
1183038011;Семейный адвокат;Услуги;Адвокаты;Московская область;Москва;улица Борисовские Пруды 10, корп.4;;;;+79257557876;;http://falaw.ru;55.63376;37.7396;
1220595306;Адвокат Юрченко С.Ю.;Услуги;Адвокаты;Московская область;Москва;улица Гримау 10;+7(495)7616846;;;;;http://advokat-pravo.ru;55.689923;37.57925;
1213366687;Московская коллегия адвокатов Бурделов и партнеры;Услуги;Адвокаты;Московская область;Москва;Каширское шоссе 27;+7(495)2270153;;;;20gma@tsr.ru;http://burdelov.ru;55.65527;37.65019;
1228194729;Московская коллегия адвокатов Бурделов и партнеры;Услуги;Адвокаты;Московская область;Москва;Варшавское шоссе 78/2, эт. 3;+7(495)2270153;;;;20gma@tsr.ru;http://burdelov.ru;55.653873;37.618722;
1131077222;Юридический альянс;Услуги;Адвокаты;Московская область;Москва;улица Рощинская 2-я 4, корп.1;+7(495)6437482;;;+79852657372;uralyans2008@yandex.ru;http://юральянс.рф;55.709885;37.617366;
1118911726;Адвокат Богатков С.А.;Услуги;Адвокаты;Московская область;Москва;Люблинская улица 61;;;;+79269223772;Sbogatkov@mail.ru;http://advokat-bogatkov.ru;55.684117;37.73845;
1191518333;Московская коллегия адвокатов Бурделов и партнеры;Услуги;Адвокаты;Московская область;Люберцы;улица Калараш 19;+7(495)2270153;;;;20gma@tsr.ru;http://burdelov.ru;55.676372;37.883878;
1241675914;Служба Помощи Призывникам;Услуги;Адвокаты;Московская область;Москва;Братиславская улица 14;+7(495)9889112;;;;info@armyhelp.ru;http://armyhelp.ru;55.659119;37.755086;
1047411164;Адвокат Кирсанов Д.С.;Услуги;Адвокаты;Московская область;Москва;Большая Тульская улица 2, каб. 45;+7(495)5109567;;;;kirsanov@advokat-kirsanov.ru;http://kirsanovlaw.ru;55.70901;37.758083;
1157301141;Служба Помощи Призывникам;Услуги;Адвокаты;Московская область;Троицк;Октябрьский проспект 261;+7(495)9889112;;;;info@armyhelp.ru;http://armyhelp.ru;55.6729;37.905518;
1163272293;Адвокат круглосуточно;Услуги;Адвокаты;Московская область;Москва;улица Орджоникидзе 9, корп.2;;;;+79853174567;;;55.708775;37.599319;
1138700154;Адвокаты. Юристы;Услуги;Адвокаты;Московская область;Москва;Пронская улица 3;;;;+79164520775;fedorb@mail.ru;http://moscow-advokaty.ru;55.702759;37.846822;
1169812293;Адвокаты. Юристы;Услуги;Адвокаты;Московская область;Москва;Самаркандский бульвар 4;;;;+79164520775;fedorb@mail.ru;http://moscow-advokaty.ru;55.70773;37.828857;
